sim_cycle= 71854	sim_num_insn=20000	Progress=2%	data_packets_generate=1033
sim_cycle= 141245	sim_num_insn=40002	Progress=4%	data_packets_generate=135
sim_cycle= 524418	sim_num_insn=60000	Progress=6%	data_packets_generate=0
sim_cycle= 907227	sim_num_insn=80000	Progress=8%	data_packets_generate=0
sim_cycle= 1290571	sim_num_insn=100004	Progress=10%	data_packets_generate=0
sim_cycle= 1673399	sim_num_insn=120000	Progress=12%	data_packets_generate=0
sim_cycle= 2056173	sim_num_insn=140002	Progress=14%	data_packets_generate=0
sim_cycle= 2439074	sim_num_insn=160001	Progress=16%	data_packets_generate=0
sim_cycle= 2822316	sim_num_insn=180002	Progress=18%	data_packets_generate=0
sim_cycle= 3205356	sim_num_insn=200000	Progress=20%	data_packets_generate=0
sim_cycle= 3588316	sim_num_insn=220001	Progress=22%	data_packets_generate=0
sim_cycle= 3971087	sim_num_insn=240000	Progress=24%	data_packets_generate=0
sim_cycle= 4354107	sim_num_insn=260002	Progress=26%	data_packets_generate=0
sim_cycle= 4736904	sim_num_insn=280001	Progress=28%	data_packets_generate=0
sim_cycle= 5119685	sim_num_insn=300000	Progress=30%	data_packets_generate=0
sim_cycle= 5503074	sim_num_insn=320000	Progress=32%	data_packets_generate=0
sim_cycle= 5885909	sim_num_insn=340001	Progress=34%	data_packets_generate=0
sim_cycle= 6268804	sim_num_insn=360001	Progress=36%	data_packets_generate=0
sim_cycle= 6651841	sim_num_insn=380002	Progress=38%	data_packets_generate=0
sim_cycle= 7034572	sim_num_insn=400000	Progress=40%	data_packets_generate=0
sim_cycle= 7417428	sim_num_insn=420000	Progress=42%	data_packets_generate=0
sim_cycle= 7800858	sim_num_insn=440001	Progress=44%	data_packets_generate=0
sim_cycle= 8183724	sim_num_insn=460001	Progress=46%	data_packets_generate=0
sim_cycle= 8566651	sim_num_insn=480002	Progress=48%	data_packets_generate=0
